 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      1         8,68321 0:00:09  0,0002 0,0267               0,0002
      2         4,47325 0:00:04  0,0001 0,0146               0,0001
      3         2,92103 0:00:03  0,0001 0,0101               0,0001
      4         2,40001 0:00:02  0,0001 0,0087               0,0001
      5         1,81708 0:00:02  0,0000 0,0070               0,0001
      6         1,58516 0:00:02  0,0000 0,0064               0,0001
      7         1,29341 0:00:01  0,0000 0,0055               0,0001
      8         1,14616 0:00:01  0,0000 0,0050               0,0000
      9         2,04274 0:00:02  0,0001 0,0081               0,0001
     10         1,86452 0:00:02  0,0001 0,0075               0,0001
     11         1,74594 0:00:02  0,0000 0,0071               0,0001
     12         1,54294 0:00:02  0,0000 0,0064               0,0001
     13         1,48622 0:00:01  0,0000 0,0062               0,0001
     14         1,34062 0:00:01  0,0000 0,0057               0,0001
     15         1,25234 0:00:01  0,0000 0,0054               0,0001
     16         1,29893 0:00:01  0,0000 0,0056               0,0001
