 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2         3,24192 0:00:03  0,0001 0,0196               0,0002
      4         1,69868 0:00:02  0,0001 0,0118               0,0001
      6         1,27002 0:00:01  0,0001 0,0095               0,0001
      8         0,95764 0:00:01  0,0001 0,0074               0,0001
     10         0,86637 0:00:01  0,0000 0,0064               0,0001
     12         0,73520 0:00:01  0,0000 0,0000               0,0000
     14         0,62555 0:00:01  0,0000 0,0000               0,0000
     16         0,57764 0:00:01  0,0000 0,0000               0,0000
     18         0,53746 0:00:01  0,0000 0,0000               0,0000
     20         0,50457 0:00:01  0,0000 0,0000               0,0000
     22         0,53666 0:00:01  0,0000 0,0000               0,0000
     24         0,66751 0:00:01  0,0000 0,0000               0,0000
     26         0,60761 0:00:01  0,0000 0,0000               0,0000
     28         0,56081 0:00:01  0,0000 0,0000               0,0000
     30         0,56055 0:00:01  0,0000 0,0000               0,0000
     32         0,53207 0:00:01  0,0000 0,0000               0,0000
     34         0,49026 0:00:01  0,0000 0,0000               0,0000
     36         0,47278 0:00:01  0,0000 0,0000               0,0000
     38         0,54494 0:00:01  0,0000 0,0000               0,0000
     40         0,41149 0:00:00  0,0000 0,0000               0,0000
     42         0,43149 0:00:00  0,0000 0,0000               0,0000
     44         0,43382 0:00:00  0,0000 0,0000               0,0000
     46         0,42356 0:00:00  0,0000 0,0000               0,0000
     48         0,77277 0:00:01  0,0000 0,0000               0,0000
     50         0,45709 0:00:00  0,0000 0,0000               0,0000
     52         0,51218 0:00:01  0,0000 0,0000               0,0000
     54         0,42893 0:00:00  0,0000 0,0000               0,0000
     56         0,40717 0:00:00  0,0000 0,0000               0,0000
     58         0,40457 0:00:00  0,0000 0,0000               0,0000
     60         0,48322 0:00:00  0,0000 0,0000               0,0000
     62         0,63634 0:00:01  0,0000 0,0000               0,0000
     64         0,66336 0:00:01  0,0000 0,0000               0,0000
     66         0,53442 0:00:01  0,0000 0,0000               0,0000
     68         0,41503 0:00:00  0,0000 0,0000               0,0000
     70         0,38737 0:00:00  0,0000 0,0000               0,0000
     72         0,40002 0:00:00  0,0000 0,0000               0,0000
     74         0,44147 0:00:00  0,0000 0,0000               0,0000
     76         0,41592 0:00:00  0,0000 0,0000               0,0000
     78         0,52304 0:00:01  0,0000 0,0000               0,0000
     80         0,42734 0:00:00  0,0000 0,0000               0,0000
     82         0,46731 0:00:00  0,0000 0,0000               0,0000
     84         0,50458 0:00:01  0,0000 0,0000               0,0000
     86         0,47828 0:00:01  0,0000 0,0000               0,0000
     88         0,40100 0:00:00  0,0000 0,0000               0,0000
      1         6,20012 0:00:06  0,0002 0,1144               0,0011
      2         3,30457 0:00:03  0,0001 0,0669               0,0006
      3         2,23687 0:00:02  0,0001 0,0492               0,0005
      4         1,72581 0:00:02  0,0001 0,0397               0,0004
      5         1,46889 0:00:01  0,0001 0,0349               0,0003
      6         1,23408 0:00:01  0,0001 0,0306               0,0003
      7         1,08293 0:00:01  0,0001 0,0278               0,0003
      8         0,98634 0:00:01  0,0001 0,0256               0,0002
      9         0,94379 0:00:01  0,0001 0,0241               0,0002
     10         0,87139 0:00:01  0,0000 0,0218               0,0002
     11         0,78879 0:00:01  0,0000 0,0000               0,0000
     12         0,72178 0:00:01  0,0000 0,0000               0,0000
     13         0,67760 0:00:01  0,0000 0,0000               0,0000
     14         0,62332 0:00:01  0,0000 0,0000               0,0000
     15         0,60551 0:00:01  0,0000 0,0000               0,0000
     16         0,65284 0:00:01  0,0000 0,0000               0,0000
     17         0,53601 0:00:01  0,0000 0,0000               0,0000
     18         0,48675 0:00:00  0,0000 0,0000               0,0000
     19         0,53453 0:00:01  0,0000 0,0000               0,0000
     20         0,51700 0:00:01  0,0000 0,0000               0,0000
     21         0,51155 0:00:01  0,0000 0,0000               0,0000
     22         0,49443 0:00:01  0,0000 0,0000               0,0000
     23         0,63732 0:00:01  0,0000 0,0000               0,0000
     24         0,62956 0:00:01  0,0000 0,0000               0,0000
     25         0,67135 0:00:01  0,0000 0,0000               0,0000
     26         0,65167 0:00:01  0,0000 0,0000               0,0000
     27         0,61183 0:00:01  0,0000 0,0000               0,0000
     28         0,55114 0:00:01  0,0000 0,0000               0,0000
     29         0,51517 0:00:01  0,0000 0,0000               0,0000
     30         0,52556 0:00:01  0,0000 0,0000               0,0000
     31         0,51037 0:00:01  0,0000 0,0000               0,0000
     32         0,52769 0:00:01  0,0000 0,0000               0,0000
     33         0,50240 0:00:01  0,0000 0,0000               0,0000
     34         0,52153 0:00:01  0,0000 0,0000               0,0000
     35         0,48752 0:00:00  0,0000 0,0000               0,0000
     36         0,49318 0:00:01  0,0000 0,0000               0,0000
     37         0,46454 0:00:00  0,0000 0,0000               0,0000
     38         0,45271 0:00:00  0,0000 0,0000               0,0000
     39         0,45711 0:00:00  0,0000 0,0000               0,0000
     40         0,41377 0:00:00  0,0000 0,0000               0,0000
     41         0,44850 0:00:00  0,0000 0,0000               0,0000
     42         0,45086 0:00:00  0,0000 0,0000               0,0000
     43         0,40700 0:00:00  0,0000 0,0000               0,0000
     44         0,40312 0:00:00  0,0000 0,0000               0,0000
     45         0,44302 0:00:00  0,0000 0,0000               0,0000
     46         0,42222 0:00:00  0,0000 0,0000               0,0000
     47         0,41303 0:00:00  0,0000 0,0000               0,0000
     48         0,40561 0:00:00  0,0000 0,0000               0,0000
     49         0,49307 0:00:01  0,0000 0,0000               0,0000
     50         0,41534 0:00:00  0,0000 0,0000               0,0000
     51         0,44669 0:00:00  0,0000 0,0000               0,0000
     52         0,39228 0:00:00  0,0000 0,0000               0,0000
     53         0,51130 0:00:01  0,0000 0,0000               0,0000
     54         0,42894 0:00:00  0,0000 0,0000               0,0000
     55         0,40277 0:00:00  0,0000 0,0000               0,0000
     56         0,38193 0:00:00  0,0000 0,0000               0,0000
     57         0,42215 0:00:00  0,0000 0,0000               0,0000
     58         0,39257 0:00:00  0,0000 0,0000               0,0000
     59         0,49039 0:00:01  0,0000 0,0000               0,0000
     60         0,40602 0:00:00  0,0000 0,0000               0,0000
     61         0,41137 0:00:00  0,0000 0,0000               0,0000
     62         0,39819 0:00:00  0,0000 0,0000               0,0000
     63         0,38402 0:00:00  0,0000 0,0000               0,0000
     64         0,36139 0:00:00  0,0000 0,0000               0,0000
     65         0,40797 0:00:00  0,0000 0,0000               0,0000
     66         0,36463 0:00:00  0,0000 0,0000               0,0000
     67         0,39506 0:00:00  0,0000 0,0000               0,0000
     68         0,39379 0:00:00  0,0000 0,0000               0,0000
     69         0,45079 0:00:00  0,0000 0,0000               0,0000
     70         0,42432 0:00:00  0,0000 0,0000               0,0000
     71         0,41151 0:00:00  0,0000 0,0000               0,0000
     72         0,39261 0:00:00  0,0000 0,0000               0,0000
     73         0,42906 0:00:00  0,0000 0,0000               0,0000
     74         0,40808 0:00:00  0,0000 0,0000               0,0000
     75         0,50197 0:00:01  0,0000 0,0000               0,0000
     76         0,42140 0:00:00  0,0000 0,0000               0,0000
     77         0,49123 0:00:01  0,0000 0,0000               0,0000
     78         0,46672 0:00:00  0,0000 0,0000               0,0000
     79         0,55295 0:00:01  0,0000 0,0000               0,0000
     80         0,60254 0:00:01  0,0000 0,0000               0,0000
     81         0,45689 0:00:00  0,0000 0,0000               0,0000
     82         0,47821 0:00:00  0,0000 0,0000               0,0000
     83         0,45107 0:00:00  0,0000 0,0000               0,0000
     84         0,44011 0:00:00  0,0000 0,0000               0,0000
     85         0,48137 0:00:00  0,0000 0,0000               0,0000
     86         0,46593 0:00:00  0,0000 0,0000               0,0000
     87         0,41480 0:00:00  0,0000 0,0000               0,0000
     88         0,43240 0:00:00  0,0000 0,0000               0,0000
