 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2        62,17016 0:01:02  0,0026 0,3700               0,0034
      4        32,85274 0:00:33  0,0016 0,2213               0,0021
      6        24,08945 0:00:24  0,0013 0,1793               0,0017
      8        20,17449 0:00:20  0,0011 0,1540               0,0014
     10        19,52776 0:00:20  0,0011 0,1575               0,0015
     12        20,34243 0:00:20  0,0012 0,1673               0,0016
     14        17,37866 0:00:17  0,0011 0,1498               0,0014
     16        17,11517 0:00:17  0,0011 0,1511               0,0014
     18        18,34298 0:00:18  0,0012 0,1637               0,0015
     20        17,54740 0:00:18  0,0011 0,1603               0,0015
     22        18,14745 0:00:18  0,0012 0,1693               0,0016
     24        17,82735 0:00:18  0,0012 0,1722               0,0016
     26        17,57321 0:00:18  0,0012 0,1707               0,0016
     28        18,02168 0:00:18  0,0013 0,1783               0,0017
     30        18,10089 0:00:18  0,0013 0,1848               0,0017
     32        18,20519 0:00:18  0,0013 0,1856               0,0017
     34        17,94110 0:00:18  0,0013 0,1866               0,0017
     36        18,92613 0:00:19  0,0014 0,1965               0,0018
     38        19,52615 0:00:20  0,0014 0,1960               0,0018
     40        19,26285 0:00:19  0,0014 0,2024               0,0019
     42        19,82999 0:00:20  0,0014 0,2010               0,0019
     44        19,44515 0:00:19  0,0015 0,2131               0,0020
     46        17,56153 0:00:18  0,0014 0,1962               0,0018
     48        20,24587 0:00:20  0,0015 0,2117               0,0020
     50        19,08736 0:00:19  0,0015 0,2165               0,0020
     52        19,66072 0:00:20  0,0015 0,2161               0,0020
     54        18,82687 0:00:19  0,0015 0,2090               0,0019
     56        18,68869 0:00:19  0,0015 0,2069               0,0019
     58        18,37119 0:00:18  0,0015 0,2077               0,0019
     60        18,02010 0:00:18  0,0015 0,2099               0,0020
     62        17,63461 0:00:18  0,0015 0,2096               0,0019
     64        16,54068 0:00:17  0,0014 0,1987               0,0018
     66        17,22639 0:00:17  0,0015 0,2157               0,0020
     68        17,36175 0:00:17  0,0015 0,2146               0,0020
     70        17,63151 0:00:18  0,0015 0,2182               0,0020
     72        16,99123 0:00:17  0,0015 0,2172               0,0020
     74        16,87445 0:00:17  0,0015 0,2136               0,0020
     76        17,10305 0:00:17  0,0015 0,2166               0,0020
     78        17,14851 0:00:17  0,0015 0,2149               0,0020
     80        16,09226 0:00:16  0,0014 0,2049               0,0019
     82        16,70778 0:00:17  0,0015 0,2132               0,0020
     84        17,15641 0:00:17  0,0015 0,2173               0,0020
     86        17,28161 0:00:17  0,0016 0,2213               0,0021
     88        17,32681 0:00:17  0,0015 0,2186               0,0020
      1       123,10356 0:02:03  0,0046 0,6521               0,0061
      2        62,38602 0:01:02  0,0026 0,3700               0,0034
      3        43,94229 0:00:44  0,0020 0,2828               0,0026
      4        33,25537 0:00:33  0,0016 0,2282               0,0021
      5        27,85404 0:00:28  0,0014 0,2002               0,0019
      6        23,74336 0:00:24  0,0013 0,1783               0,0017
      7        22,32800 0:00:22  0,0012 0,1671               0,0016
      8        20,10025 0:00:20  0,0011 0,1553               0,0014
      9        20,04447 0:00:20  0,0011 0,1576               0,0015
     10        17,79881 0:00:18  0,0010 0,1436               0,0013
     11        18,93817 0:00:19  0,0011 0,1541               0,0014
     12        17,93824 0:00:18  0,0011 0,1494               0,0014
     13        18,13101 0:00:18  0,0011 0,1523               0,0014
     14        19,78581 0:00:20  0,0012 0,1684               0,0016
     15        18,01671 0:00:18  0,0011 0,1556               0,0014
     16        19,87801 0:00:20  0,0012 0,1700               0,0016
     17        17,47371 0:00:17  0,0011 0,1555               0,0014
     18        18,53200 0:00:19  0,0012 0,1674               0,0016
     19        17,58575 0:00:18  0,0011 0,1619               0,0015
     20        18,08332 0:00:18  0,0012 0,1687               0,0016
     21        17,35367 0:00:17  0,0012 0,1639               0,0015
     22        17,53924 0:00:18  0,0012 0,1686               0,0016
     23        17,25497 0:00:17  0,0012 0,1647               0,0015
     24        17,18029 0:00:17  0,0012 0,1642               0,0015
     25        17,81194 0:00:18  0,0012 0,1731               0,0016
     26        17,92939 0:00:18  0,0012 0,1766               0,0016
     27        17,18073 0:00:17  0,0012 0,1706               0,0016
     28        17,67887 0:00:18  0,0012 0,1768               0,0016
     29        17,99292 0:00:18  0,0013 0,1821               0,0017
     30        17,94846 0:00:18  0,0013 0,1822               0,0017
     31        18,37618 0:00:18  0,0013 0,1881               0,0017
     32        18,20562 0:00:18  0,0013 0,1867               0,0017
     33        17,62901 0:00:18  0,0013 0,1837               0,0017
     34        18,05031 0:00:18  0,0013 0,1894               0,0018
     35        19,17283 0:00:19  0,0014 0,1964               0,0018
     36        18,39479 0:00:18  0,0014 0,1952               0,0018
     37        18,51037 0:00:19  0,0014 0,2000               0,0019
     38        18,47149 0:00:18  0,0014 0,1982               0,0018
     39        18,83275 0:00:19  0,0014 0,2043               0,0019
     40        18,64798 0:00:19  0,0014 0,1984               0,0018
     41        18,51538 0:00:19  0,0014 0,2028               0,0019
     42        17,70507 0:00:18  0,0014 0,2043               0,0019
     43        18,97786 0:00:19  0,0014 0,2042               0,0019
     44        19,02510 0:00:19  0,0014 0,1997               0,0019
     45        20,34694 0:00:20  0,0015 0,2123               0,0020
     46        19,24885 0:00:19  0,0015 0,2087               0,0019
     47        20,00148 0:00:20  0,0015 0,2142               0,0020
     48        19,82058 0:00:20  0,0015 0,2183               0,0020
