 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2       48,364404 0:00:48  0,0019 0,2726               0,0025
      4       35,794332 0:00:36  0,0014 0,1989               0,0018
      6       32,504382 0:00:33  0,0012 0,1762               0,0016
      8       32,325147 0:00:32  0,0012 0,1759               0,0016
     10       31,527024 0:00:32  0,0012 0,1714               0,0016
     12       31,310631 0:00:31  0,0012 0,1686               0,0016
     14       30,567076 0:00:31  0,0013 0,1814               0,0017
     16       31,358835 0:00:31  0,0013 0,1828               0,0017
     18       31,441120 0:00:31  0,0013 0,1867               0,0017
     20       30,831211 0:00:31  0,0013 0,1874               0,0017
     22       31,596136 0:00:32  0,0014 0,1940               0,0018
     24       32,310521 0:00:32  0,0014 0,1987               0,0018
     26       31,744510 0:00:32  0,0014 0,1946               0,0018
     28       31,847474 0:00:32  0,0014 0,1944               0,0018
     30       31,373392 0:00:31  0,0014 0,1949               0,0018
     32       32,999291 0:00:33  0,0014 0,2029               0,0019
     34       31,556952 0:00:32  0,0014 0,1969               0,0018
     36       32,505621 0:00:33  0,0014 0,2030               0,0019
     38       33,112256 0:00:33  0,0014 0,2050               0,0019
     40       34,353799 0:00:34  0,0016 0,2325               0,0022
     42       33,236033 0:00:33  0,0015 0,2064               0,0019
     44       33,850866 0:00:34  0,0014 0,2011               0,0019
     46       33,557385 0:00:34  0,0015 0,2076               0,0019
     48       34,352904 0:00:34  0,0017 0,2456               0,0023
     50       34,239356 0:00:34  0,0017 0,2422               0,0023
     52       34,550823 0:00:35  0,0019 0,2637               0,0025
     54       35,124287 0:00:35  0,0021 0,2984               0,0028
     56       35,280891 0:00:35  0,0019 0,2738               0,0025
     58       34,773760 0:00:35  0,0023 0,3210               0,0030
     60       34,496893 0:00:35  0,0022 0,3103               0,0029
     62       35,215798 0:00:35  0,0021 0,3045               0,0028
     64       36,999839 0:00:37  0,0022 0,3098               0,0029
     66       36,565344 0:00:37  0,0022 0,3088               0,0029
     68       37,123320 0:00:37  0,0021 0,2967               0,0028
     70       36,109860 0:00:36  0,0021 0,2978               0,0028
     72       36,534663 0:00:37  0,0023 0,3293               0,0031
     74       35,446831 0:00:35  0,0021 0,3018               0,0028
     76       36,876100 0:00:37  0,0023 0,3198               0,0030
     78       37,052500 0:00:37  0,0022 0,3088               0,0029
     80       36,792308 0:00:37  0,0023 0,3242               0,0030
     82       36,370451 0:00:36  0,0021 0,2999               0,0028
     84       35,944627 0:00:36  0,0020 0,2873               0,0027
     86       36,093410 0:00:36  0,0021 0,2979               0,0028
     88       36,834159 0:00:37  0,0023 0,3195               0,0030
