 Treads  Elapsed time    Time  Energy  CO2eq  km travelled by car
      1        225,63 0:03:46  0,0075 1,0657               0,0099
      2        143,54 0:02:24  0,0050 0,7113               0,0066
      3         94,04 0:01:34  0,0043 0,6129               0,0057
      4         77,83 0:01:18  0,0037 0,5255               0,0049
      5         70,43 0:01:10  0,0036 0,5057               0,0047
      6         61,98 0:01:02  0,0033 0,4614               0,0043
      7         54,93 0:00:55  0,0030 0,4258               0,0040
      8         51,15 0:00:51  0,0029 0,4099               0,0038
      9         47,57 0:00:48  0,0028 0,3908               0,0036
     10         46,14 0:00:46  0,0028 0,3906               0,0036
     11         43,56 0:00:44  0,0027 0,3780               0,0035
     12         41,35 0:00:41  0,0026 0,3736               0,0035
     13         40,55 0:00:41  0,0027 0,3776               0,0035
     14         38,71 0:00:39  0,0026 0,3681               0,0034
     15         37,90 0:00:38  0,0026 0,3712               0,0035
     16         36,63 0:00:37  0,0026 0,3709               0,0035
     17         36,23 0:00:36  0,0026 0,3696               0,0034
     18         36,32 0:00:36  0,0027 0,3853               0,0036
     19         35,80 0:00:36  0,0028 0,3917               0,0036
     20         34,44 0:00:35  0,0027 0,3877               0,0036
     21         46,26 0:00:46  0,0035 0,4988               0,0046
     22         46,32 0:00:46  0,0035 0,4965               0,0046
     23         46,76 0:00:47  0,0028 0,3996               0,0037
     24         47,42 0:00:47  0,0036 0,5140               0,0048
     25         46,68 0:00:47  0,0036 0,5084               0,0047
     26         46,50 0:00:47  0,0036 0,5098               0,0047
     27         47,78 0:00:48  0,0037 0,5254               0,0049
     28         46,53 0:00:47  0,0036 0,5110               0,0048
     29         47,27 0:00:47  0,0037 0,5262               0,0049
     30         47,48 0:00:48  0,0037 0,5294               0,0049
     31         47,17 0:00:47  0,0037 0,5312               0,0049
     32         46,33 0:00:46  0,0037 0,5254               0,0049
     33         47,27 0:00:47  0,0038 0,5365               0,0050
     34         46,81 0:00:47  0,0038 0,5338               0,0050
     35         47,07 0:00:47  0,0038 0,5427               0,0050
     36         49,07 0:00:49  0,0039 0,5599               0,0052
     37         47,60 0:00:48  0,0039 0,5502               0,0051
     38         50,05 0:00:50  0,0041 0,5784               0,0054
     39         50,44 0:00:50  0,0041 0,5873               0,0055
     40         52,07 0:00:52  0,0043 0,6100               0,0057
