 Time in seconds    Time  Energy  CO2eq  km travelled by car  Treads
          950,33 0:15:58  0,0535 7,5804               0,0705       1
          483,56 0:08:08  0,0290 4,1134               0,0383       2
          344,87 0:05:48  0,0213 3,0191               0,0281       3
          266,00 0:04:28  0,0170 2,4118               0,0224       4
          227,57 0:03:49  0,0149 2,1112               0,0196       5
          193,85 0:03:16  0,0131 1,8615               0,0173       6
          170,94 0:02:52  0,0120 1,6963               0,0158       7
          149,51 0:02:31  0,0108 1,5349               0,0143       8
          137,40 0:02:19  0,0103 4,8790               0,0454       9
          122,63 0:02:04  0,0096 4,5433               0,0423      10
          113,04 0:01:54  0,0100 4,7598               0,0443      11
          106,97 0:01:48  0,0098 4,6542               0,0433      12
          100,06 0:01:41  0,0094 4,4507               0,0414      13
           93,47 0:01:34  0,0090 4,2625               0,0397      14
           86,66 0:01:27  0,0085 4,0382               0,0376      15
           80,51 0:01:21  0,0081 3,8626               0,0359      16
           76,67 0:01:17  0,0080 3,7795               0,0352      17
           71,80 0:01:12  0,0077 3,6445               0,0339      18
           70,66 0:01:11  0,0077 3,6503               0,0340      19
           63,90 0:01:05  0,0073 3,4459               0,0321      20
           97,20 0:01:38  0,0095 4,4923               0,0418      21
           98,12 0:01:39  0,0095 4,4957               0,0418      22
           92,66 0:01:34  0,0091 4,3234               0,0402      23
           88,36 0:01:29  0,0088 4,1951               0,0390      24
           91,28 0:01:32  0,0090 4,2762               0,0398      25
           91,14 0:01:32  0,0090 4,2861               0,0399      26
           83,11 0:01:24  0,0085 4,0414               0,0376      27
           78,27 0:01:19  0,0082 3,9113               0,0364      28
           80,37 0:01:21  0,0083 3,9656               0,0369      29
           80,46 0:01:21  0,0082 3,9110               0,0364      30
           78,84 0:01:20  0,0083 3,9305               0,0366      31
           72,78 0:01:13  0,0079 3,7422               0,0348      32
           71,62 0:01:12  0,0078 3,7096               0,0345      33
           71,60 0:01:12  0,0079 3,7591               0,0350      34
           66,19 0:01:07  0,0075 3,5653               0,0332      35
           66,26 0:01:07  0,0074 3,5274               0,0328      36
           66,31 0:01:07  0,0075 3,5655               0,0332      37
           68,91 0:01:10  0,0079 3,7329               0,0347      38
           64,93 0:01:06  0,0075 3,5827               0,0333      39
           60,13 0:01:01  0,0071 3,3519               0,0312      40
