 Time in seconds    Time  Energy  CO2eq  km travelled by car  Treads
          204,44 0:03:37  0,0126 5,9629               0,0555       1
          111,20 0:01:58  0,0073 3,4538               0,0321       2
           83,68 0:01:29  0,0056 2,6797               0,0249       3
           68,51 0:01:12  0,0048 2,2600               0,0210       4
           60,23 0:01:03  0,0043 2,0385               0,0190       5
           54,03 0:00:57  0,0040 1,9030               0,0177       6
           50,89 0:00:53  0,0039 1,8452               0,0172       7
           48,42 0:00:51  0,0038 1,8198               0,0169       8
           47,30 0:00:49  0,0039 1,8288               0,0170       9
           47,14 0:00:49  0,0039 1,8699               0,0174      10
           42,03 0:00:44  0,0038 1,8086               0,0168      11
           38,50 0:00:40  0,0036 1,7257               0,0161      12
           35,99 0:00:37  0,0035 1,6521               0,0154      13
           33,34 0:00:35  0,0033 1,5661               0,0146      14
           31,12 0:00:32  0,0031 1,4860               0,0138      15
           29,08 0:00:30  0,0030 1,4305               0,0133      16
           28,07 0:00:29  0,0030 1,4145               0,0132      17
           26,75 0:00:28  0,0029 1,3872               0,0129      18
           25,26 0:00:26  0,0029 1,3598               0,0126      19
           24,02 0:00:25  0,0028 1,3218               0,0123      20
           29,61 0:00:31  0,0032 1,5291               0,0142      21
           29,52 0:00:31  0,0032 1,5258               0,0142      22
           29,39 0:00:30  0,0032 1,5161               0,0141      23
           29,56 0:00:31  0,0032 1,5241               0,0142      24
           29,71 0:00:31  0,0032 1,5280               0,0142      25
           29,64 0:00:31  0,0032 1,5308               0,0142      26
           30,43 0:00:31  0,0033 1,5519               0,0144      27
           30,63 0:00:32  0,0033 1,5461               0,0144      28
           30,84 0:00:32  0,0033 1,5571               0,0145      29
           32,28 0:00:33  0,0034 1,6088               0,0150      30
           31,41 0:00:32  0,0033 1,5863               0,0148      31
           29,96 0:00:31  0,0033 1,5440               0,0144      32
           29,14 0:00:30  0,0032 1,5165               0,0141      33
           28,41 0:00:29  0,0031 1,4938               0,0139      34
           27,71 0:00:29  0,0031 1,4747               0,0137      35
           26,99 0:00:28  0,0031 1,4552               0,0135      36
           26,39 0:00:27  0,0030 1,4466               0,0135      37
           25,64 0:00:26  0,0030 1,4297               0,0133      38
           25,32 0:00:26  0,0030 1,4148               0,0132      39
           24,90 0:00:26  0,0029 1,3977               0,0130      40
