 Time in seconds    Time  Energy   CO2eq  km travelled by car  Treads
          572,66 0:09:36  0,0324 15,3905               0,1432       1
          294,29 0:04:56  0,0176  8,3807               0,0780       2
          212,55 0:03:34  0,0131  6,2300               0,0580       3
          171,21 0:02:52  0,0109  5,1660               0,0481       4
          148,21 0:02:29  0,0097  4,5966               0,0428       5
          131,47 0:02:12  0,0088  4,1958               0,0390       6
          119,73 0:02:00  0,0083  3,9315               0,0366       7
          111,35 0:01:52  0,0080  3,7788               0,0352       8
          104,69 0:01:45  0,0077  3,6528               0,0340       9
           99,68 0:01:40  0,0075  3,5833               0,0333      10
           81,98 0:01:23  0,0072  3,4118               0,0317      11
           75,49 0:01:16  0,0069  3,2719               0,0304      12
           69,65 0:01:10  0,0065  3,0974               0,0288      13
           65,17 0:01:06  0,0062  2,9648               0,0276      14
           61,09 0:01:01  0,0060  2,8425               0,0264      15
           57,92 0:00:58  0,0058  2,7636               0,0257      16
           55,08 0:00:55  0,0057  2,6877               0,0250      17
           51,35 0:00:52  0,0054  2,5783               0,0240      18
           49,31 0:00:50  0,0054  2,5419               0,0236      19
           47,95 0:00:48  0,0053  2,5298               0,0235      20
           63,31 0:01:04  0,0066  3,1135               0,0290      21
           61,85 0:01:02  0,0064  3,0578               0,0284      22
           62,38 0:01:03  0,0065  3,0756               0,0286      23
           61,44 0:01:02  0,0064  3,0367               0,0282      24
           61,04 0:01:01  0,0064  3,0190               0,0281      25
           59,31 0:01:00  0,0062  2,9628               0,0276      26
           58,55 0:00:59  0,0062  2,9404               0,0274      27
           57,91 0:00:58  0,0061  2,9207               0,0272      28
           57,10 0:00:57  0,0061  2,8990               0,0270      29
           57,84 0:00:58  0,0062  2,9392               0,0273      30
           55,22 0:00:56  0,0060  2,8406               0,0264      31
           52,96 0:00:53  0,0058  2,7582               0,0257      32
           52,34 0:00:53  0,0058  2,7408               0,0255      33
           50,04 0:00:50  0,0056  2,6466               0,0246      34
           49,48 0:00:50  0,0055  2,6304               0,0245      35
           48,73 0:00:49  0,0055  2,6151               0,0243      36
           47,49 0:00:48  0,0054  2,5698               0,0239      37
           46,18 0:00:47  0,0053  2,5135               0,0234      38
           46,20 0:00:47  0,0053  2,5237               0,0235      39
           45,37 0:00:46  0,0052  2,4807               0,0231      40
