 Time in seconds    Time  Energy  CO2eq  km travelled by car  Treads
          269,41 0:04:32  0,0171 2,4274               0,0226       4
          150,93 0:02:32  0,0110 1,5539               0,0145       8
          108,08 0:01:49  0,0098 1,3908               0,0129      12
           78,77 0:01:19  0,0079 1,1266               0,0105      16
           65,49 0:01:06  0,0073 1,0378               0,0097      20
           88,94 0:01:30  0,0089 1,2603               0,0117      24
           80,83 0:01:22  0,0085 1,2022               0,0112      28
           72,66 0:01:13  0,0079 1,1151               0,0104      32
           66,52 0:01:07  0,0075 1,0702               0,0100      36
           59,62 0:01:00  0,0070 0,9912               0,0092      40
