 Time in seconds    Time  Energy  CO2eq  km travelled by car  Treads
           96,24 0:01:41  0,0064 0,9068               0,0084       4
           50,63 0:00:53  0,0037 0,5272               0,0049       8
           31,93 0:00:34  0,0030 0,4217               0,0039      12
           23,78 0:00:25  0,0024 0,3404               0,0032      16
           20,04 0:00:21  0,0022 0,3052               0,0028      20
           26,50 0:00:28  0,0027 0,3879               0,0036      24
           23,10 0:00:24  0,0025 0,3474               0,0032      28
           20,66 0:00:22  0,0022 0,3168               0,0029      32
           18,81 0:00:20  0,0021 0,2962               0,0028      36
           17,00 0:00:18  0,0019 0,2723               0,0025      40
