 Time in seconds    Time  Energy  CO2eq  km travelled by car  Treads
           54,33 0:01:00  0,0040 0,5611               0,0052       4
           30,01 0:00:33  0,0025 0,3474               0,0032       8
           21,60 0:00:24  0,0021 0,3016               0,0028      12
           16,25 0:00:18  0,0017 0,2455               0,0023      16
           13,22 0:00:14  0,0016 0,2226               0,0021      20
           17,49 0:00:19  0,0019 0,2634               0,0024      24
           16,66 0:00:18  0,0018 0,2573               0,0024      28
           15,74 0:00:17  0,0018 0,2524               0,0023      32
           14,17 0:00:15  0,0017 0,2365               0,0022      36
           12,88 0:00:14  0,0016 0,2256               0,0021      40
