 Time in seconds    Time  Energy  CO2eq  km travelled by car  Treads
          161,15 0:02:43  0,0109 1,5406               0,0143       4
          136,89 0:02:18  0,0103 1,4672               0,0136       8
          121,37 0:02:02  0,0109 1,5471               0,0144      12
           90,45 0:01:31  0,0090 1,2750               0,0119      16
           74,58 0:01:15  0,0085 1,2059               0,0112      20
           97,61 0:01:38  0,0102 1,4418               0,0134      24
          100,90 0:01:42  0,0105 1,4893               0,0139      28
          102,41 0:01:43  0,0107 1,5207               0,0141      32
          101,50 0:01:42  0,0109 1,5450               0,0144      36
           85,63 0:01:26  0,0099 1,3971               0,0130      40
